26	6	1034			
1	377	115			
2	249	202	39	0.035	1
3	92	278	231	0.014	2
4	165	253	207	0.017	3
5	365	158	216	0.036	4
6	476	384	291	0.025	5
7	92	182	57	0.048	6
8	105	295	288	0.033	1
9	46	362	54	0.033	2
10	45	254	249	0.038	3
11	162	494	162	0.037	4
12	190	385	255	0.026	5
13	366	331	81	0.035	6
14	439	63	96	0.038	1
15	161	10	108	0.013	2
16	407	132	192	0.034	3
17	477	411	249	0.027	4
18	237	459	162	0.016	5
19	7	120	45	0.037	6
20	341	415	105	0.023	1
21	270	193	174	0.024	2
22	138	153	81	0.039	3
23	297	373	234	0.041	4
24	144	179	243	0.034	5
25	409	372	195	0.047	6
26	0	283	123	0.032	1
