\abs1n10_1.mps ,RUNTIME : 6.813, SUBTOUR : CORRECT
\abs1n5_1.mps ,RUNTIME : 0.313, SUBTOUR : CORRECT
\abs1n5_2.mps ,RUNTIME : 0.187, SUBTOUR : CORRECT
\abs1n5_3.mps ,RUNTIME : 0.654, SUBTOUR : CORRECT
\abs1n5_4.mps ,RUNTIME : 0.247, SUBTOUR : CORRECT
\abs2n5_1.mps ,RUNTIME : 0.47, SUBTOUR : CORRECT
\abs2n5_2.mps ,RUNTIME : 0.432, SUBTOUR : CORRECT
\abs2n5_3.mps ,RUNTIME : 0.464, SUBTOUR : CORRECT
\abs2n5_4.mps ,RUNTIME : 0.624, SUBTOUR : CORRECT
\abs3n5_1.mps ,RUNTIME : 0.617, SUBTOUR : CORRECT
\abs3n5_2.mps ,RUNTIME : 0.285, SUBTOUR : CORRECT
\abs3n5_3.mps ,RUNTIME : 0.57, SUBTOUR : CORRECT
\abs3n5_4.mps ,RUNTIME : 0.486, SUBTOUR : CORRECT
\abs4n5_1.mps ,RUNTIME : 0.586, SUBTOUR : CORRECT
\abs4n5_2.mps ,RUNTIME : 0.301, SUBTOUR : CORRECT
\abs4n5_3.mps ,RUNTIME : 0.385, SUBTOUR : CORRECT
\abs1n5_1.mps ,RUNTIME : 0.255, SUBTOUR : CORRECT
\abs1n5_2.mps ,RUNTIME : 0.152, SUBTOUR : CORRECT
\abs1n5_3.mps ,RUNTIME : 0.582, SUBTOUR : CORRECT
\abs1n5_4.mps ,RUNTIME : 0.192, SUBTOUR : CORRECT
\abs2n5_1.mps ,RUNTIME : 0.486, SUBTOUR : CORRECT
\abs2n5_2.mps ,RUNTIME : 0.417, SUBTOUR : CORRECT
\abs2n5_3.mps ,RUNTIME : 0.454, SUBTOUR : CORRECT
\abs2n5_4.mps ,RUNTIME : 0.617, SUBTOUR : CORRECT
\abs3n5_1.mps ,RUNTIME : 0.586, SUBTOUR : CORRECT
\abs3n5_2.mps ,RUNTIME : 0.27, SUBTOUR : CORRECT
\abs3n5_3.mps ,RUNTIME : 0.548, SUBTOUR : CORRECT
\abs3n5_4.mps ,RUNTIME : 0.47, SUBTOUR : CORRECT
\abs1n10_1.mps ,RUNTIME : 6.703, SUBTOUR : CORRECT
\abs1n10_2.mps ,RUNTIME : 8.819, SUBTOUR : ERROR
\abs1n10_3.mps ,RUNTIME : 43.81, SUBTOUR : CORRECT
\abs1n10_4.mps ,RUNTIME : 129.802, SUBTOUR : CORRECT
\abs2n10_1.mps ,RUNTIME : 1.824, SUBTOUR : CORRECT
\abs2n10_2.mps ,RUNTIME : 11.732, SUBTOUR : CORRECT
\abs2n10_3.mps ,RUNTIME : 13.067, SUBTOUR : CORRECT
\abs2n10_4.mps ,RUNTIME : 73.367, SUBTOUR : CORRECT
\abs3n10_1.mps ,RUNTIME : 2.406, SUBTOUR : CORRECT
\abs3n10_2.mps ,RUNTIME : 2.081, SUBTOUR : CORRECT
\abs3n10_3.mps ,RUNTIME : 4.783, SUBTOUR : CORRECT
\abs3n10_4.mps ,RUNTIME : 2.139, SUBTOUR : ERROR
\abs1n10_1.mps ,RUNTIME : 7.265, SUBTOUR : CORRECT
\abs1n30_1.mps OPTIMZLITY WAS NOT REACHED
\abs1n15_2.mps ,RUNTIME : 12.815, SUBTOUR : CORRECT
\abs1n25_2.mps ,RUNTIME : 148.406, SUBTOUR : CORRECT
\abs1n25_1.mps ,RUNTIME : 101.412, SUBTOUR : CORRECT
\abs1n35_1.mps OPTIMZLITY WAS NOT REACHED
\abs1n20_1.mps ,RUNTIME : 49.548, SUBTOUR : CORRECT
\abs1n20_1.mps OPTIMZLITY WAS NOT REACHED
\abs2n25_1.mps OPTIMZLITY WAS NOT REACHED
